pond fish time size
1 0 1 0.71
1 0 1 1.15
1 0 1 0.64
1 0 1 0.47
1 0 1 0.48
1 0 1 0.59
1 0 1 0.49
1 0 1 0.91
1 0 1 0.36
1 0 1 0.49
1 0 1 1.07
1 0 1 0.39
1 0 1 0.85
1 0 1 0.44
1 0 1 0.39
1 0 1 0.43
1 0 1 1.24
1 0 1 1.02
1 0 1 0.37
1 0 1 1.04
1 0 1 0.43
1 0 1 0.49
1 0 1 0.89
1 0 1 0.5
1 0 2 0.81
1 0 2 0.37
1 0 2 0.51
1 0 2 0.35
1 0 2 0.5
1 0 2 0.67
1 0 2 0.59
1 0 2 0.64
1 0 2 0.74
1 0 2 0.97
1 0 2 0.35
1 0 2 1.09
1 0 2 0.66
1 0 2 0.47
1 0 2 0.99
1 0 2 0.93
1 0 2 0.88
1 0 2 1.2
1 0 2 0.3
1 0 2 0.45
1 0 2 0.4
1 0 2 0.38
1 0 2 0.43
1 0 2 0.31
2 0 1 0.6
2 0 1 0.52
2 0 1 0.52
2 0 1 0.52
2 0 1 0.52
2 0 1 0.55
2 0 1 0.16
2 0 1 1.36
2 0 1 1.36
2 0 1 0.6
2 0 1 0.39
2 0 1 0.38
2 0 1 0.16
2 0 1 0.52
2 0 1 0.9
2 0 1 0.47
2 0 1 0.16
2 0 1 0.6
2 0 1 0.39
2 0 1 0.23
2 0 1 0.52
2 0 1 0.52
2 0 1 0.45
2 0 1 0.38
2 0 2 0.25
2 0 2 0.67
2 0 2 0.48
2 0 2 1.63
2 0 2 0.5
2 0 2 0.78
2 0 2 0.52
2 0 2 0.38
2 0 2 0.35
2 0 2 0.63
2 0 2 0.89
2 0 2 0.37
2 0 2 0.44
2 0 2 1.14
2 0 2 0.92
2 0 2 0.55
2 0 2 0.5
2 0 2 0.47
2 0 2 1.07
2 0 2 0.77
2 0 2 0.44
2 0 2 0.72
2 0 2 0.47
2 0 2 0.23
3 0 1 0.68
3 0 1 0.84
3 0 1 0.88
3 0 1 0.35
3 0 1 0.59
3 0 1 0.35
3 0 1 0.5
3 0 1 0.47
3 0 1 0.87
3 0 1 0.58
3 0 1 0.46
3 0 1 0.9
3 0 1 0.7
3 0 1 0.52
3 0 1 0.68
3 0 1 0.47
3 0 1 0.25
3 0 1 1.13
3 0 1 0.4
3 0 1 0.53
3 0 1 0.54
3 0 1 0.69
3 0 1 0.6
3 0 1 0.4
3 0 2 0.28
3 0 2 0.52
3 0 2 0.81
3 0 2 0.6
3 0 2 0.47
3 0 2 0.56
3 0 2 0.41
3 0 2 0.74
3 0 2 0.63
3 0 2 0.63
3 0 2 0.42
3 0 2 0.59
3 0 2 0.59
3 0 2 0.62
3 0 2 0.38
3 0 2 0.7
3 0 2 0.39
3 0 2 0.29
3 0 2 0.37
3 0 2 0.45
3 0 2 0.93
3 0 2 0.83
3 0 2 0.71
3 0 2 0.52
1 1 1 0.26
1 1 1 0.19
1 1 1 0.19
1 1 1 0.17
1 1 1 0.3
1 1 1 0.16
1 1 1 0.19
1 1 1 0.19
1 1 1 0.23
1 1 1 1.03
1 1 1 0.16
1 1 1 0.34
1 1 1 0.2
1 1 1 0.18
1 1 1 0.23
1 1 1 0.22
1 1 1 0.17
1 1 1 0.23
1 1 1 0.18
1 1 1 0.27
1 1 1 0.2
1 1 1 0.38
1 1 1 0.2
1 1 1 0.18
1 1 2 0.22
1 1 2 0.24
1 1 2 0.21
1 1 2 0.25
1 1 2 0.16
1 1 2 0.15
1 1 2 0.21
1 1 2 0.17
1 1 2 0.32
1 1 2 0.22
1 1 2 0.3
1 1 2 0.16
1 1 2 0.15
1 1 2 0.3
1 1 2 0.25
1 1 2 0.14
1 1 2 0.23
1 1 2 0.21
1 1 2 0.16
1 1 2 0.32
1 1 2 0.25
1 1 2 0.16
1 1 2 0.28
1 1 2 0.15
2 1 1 0.52
2 1 1 0.34
2 1 1 0.27
2 1 1 0.44
2 1 1 0.34
2 1 1 0.31
2 1 1 0.62
2 1 1 0.35
2 1 1 0.29
2 1 1 0.33
2 1 1 0.18
2 1 1 0.16
2 1 1 0.21
2 1 1 0.27
2 1 1 0.3
2 1 1 0.16
2 1 1 0.31
2 1 1 0.32
2 1 1 0.33
2 1 1 0.25
2 1 1 0.33
2 1 1 0.18
2 1 1 0.25
2 1 1 0.29
2 1 2 0.26
