month day year jul temp rate
8 25 1996 237 64 130
8 26 1996 238 57 108
8 27 1996 239 59 110
8 28 1996 240 68 166
8 29 1996 241 65 145
8 30 1996 242 61 120
8 31 1996 243 61 123
9 2 1996 245 59 110
9 3 1996 246 57 93
9 4 1996 247 53 83
9 5 1996 248 56 98
9 6 1996 249 62 128
9 7 1996 250 56 95
9 8 1996 251 64 134
9 9 1996 252 64 140
9 10 1996 253 67 167
9 12 1996 255 57 105
9 13 1996 256 58 112
9 16 1996 259 52 83
9 19 1996 262 53 84
9 26 1996 269 64 141
9 27 1996 270 67 160
9 28 1996 271 70 180
10 7 1996 280 68 157
8 12 2006 223 67 157
8 14 2006 225 59 106
8 15 2006 226 58 100
8 16 2006 227 58 112
8 18 2006 229 73.5 191
8 27 2006 238 75 204
8 30 2006 241 56 91
9 2 2006 244 75 197
9 18 2006 260 56 96
