cement uptake
1 -0.15
1 -0.004
1 -0.0608
1 -0.1037
1 -0.0058
1 -0.0884
1 -0.0274
1 -0.0781
1 -0.0083
1 -0.0586
2 -0.15
2 0.08
2 0.0242
2 -0.006
2 0.0121
2 -0.0942
2 -0.0505
2 -0.0752
2 -0.0535
2 -0.1087
3 -0.07
3 -0.006
3 -0.0329
3 -0.0607
3 -0.0268
3 -0.0177
3 -0.0209
3 -0.0566
3 -0.015
3 -0.0211
4 -0.08
4 0.03
4 -0.0732
4 -0.0051
4 -0.0292
4 -0.0306
4 -0.0113
4 -0.0538
4 -0.0025
4 -0.0178
5 -0.03
5 0.21
5 0.0192
5 0.041
5 0.043
5 0.1767
5 0.045
5 -0.0098
5 0.0741
5 0.0442
6 -0.11
6 -0.0001
6 -0.0439
6 -0.0358
6 -0.0046
6 -0.041
6 -0.0156
6 -0.0534
6 -0.067
6 -0.0342
