study fish nutr biomass
1 0 0 142
1 1 0 317
1 0 1 474
1 1 1 1227
2 0 0 121
2 1 0 137
2 0 1 480
2 1 1 679
3 0 0 9.1
3 1 0 10.7
3 0 1 15.7
3 1 1 22
4 0 0 1.5
4 1 0 14.5
4 0 1 5.7
4 1 1 8.1
5 0 0 30
5 1 0 45
5 0 1 46
5 1 1 51
6 0 0 16
6 1 0 19
6 0 1 65
6 1 1 97
7 0 0 562
7 1 0 640
7 0 1 1083
7 1 1 1425
8 0 0 504
8 1 0 480
8 0 1 1217
8 1 1 1134
9 0 0 94
9 1 0 83
9 0 1 209
9 1 1 226
10 0 0 1
10 1 0 2.59
10 0 1 3.06
10 1 1 2.65
11 0 0 10.1
11 1 0 41.3
11 0 1 45.7
11 1 1 47.3
