chamber co2 temp species plant.wt shoot.wt root.wt lf.area rs.ratio
1 0 0 0 14.679 8.078 6.602 342.79 0.893
1 0 0 1 7.258 5.54 1.718 215.797 0.326
1 0 0 2 7.818 6.027 1.792 168.637 0.299
2 1 0 0 19.132 9.945 9.188 481.25 0.972
2 1 0 1 7.021 5.851 1.17 292.81 0.199
2 1 0 2 8.673 5.372 3.301 204.083 0.681
3 0 0 0 15.316 8.441 6.875 430.903 0.876
3 0 0 1 7.641 6.189 1.452 393.213 0.246
3 0 0 2 6.453 4.814 1.639 149.16 0.335
4 0 1 0 17.034 9.197 7.837 366.393 0.899
4 0 1 1 7.185 5.847 1.338 341.177 0.246
4 0 1 2 11.087 8.714 2.373 136.087 0.283
5 1 1 0 22.042 10.631 11.411 350.24 1.134
5 1 1 1 6.998 5.51 1.488 198.143 0.273
5 1 1 2 12.375 8.247 4.128 155.153 0.531
6 1 1 0 18.288 8.368 9.921 482.643 1.208
6 1 1 1 7.432 5.568 1.864 319.7 0.341
6 1 1 2 11.742 7.737 4.005 197.68 0.549
7 1 1 0 21.029 10.553 10.476 423.87 1.082
7 1 1 1 5.652 4.552 1.1 170.6 0.257
7 1 1 2 11.145 7.007 4.138 156.37 0.605
8 1 0 0 18.56 9.52 9.04 407.363 1.115
8 1 0 1 7.023 5.754 1.269 394.373 0.235
8 1 0 2 8.173 6.181 1.992 170.563 0.34
9 0 1 0 22.196 8.815 13.382 484.087 1.564
9 0 1 1 7.851 5.825 2.026 167.57 0.354
9 0 1 2 11.018 7.587 3.431 201.583 0.486
10 0 1 0 19.387 9.797 9.59 371.297 1.069
10 0 1 1 6.909 5.161 1.748 221.497 0.382
10 0 1 2 10.723 7.929 2.794 158.57 0.41
11 0 0 0 14.737 7.817 6.921 424.5 0.929
11 0 0 1 8.618 7.063 1.555 431.443 0.222
11 0 0 2 7.378 5.207 2.171 158.79 0.518
12 1 0 0 18.798 8.672 10.126 408.643 1.243
12 1 0 1 7.578 6.208 1.371 266.24 0.222
12 1 0 2 7.506 5.249 2.257 151.327 0.566
