res cumgpa
1 2.57
1 2.78
1 3.85
1 2.72
1 2.08
1 0.85
1 2.62
1 2.45
1 2.96
1 3.49
1 1.8
1 2.54
1 2.24
1 2.61
1 3.38
1 3.26
1 2.51
1 2.19
1 2.3
1 2.95
1 2.24
1 1.83
1 2.22
1 3.52
1 3.82
1 0.95
1 2.01
1 0.82
1 2.5
1 2.67
2 2.57
2 2.61
2 3.72
2 2.61
2 2.13
2 2.66
2 2.07
2 2.71
2 3.33
2 3.11
2 2.66
2 2.24
2 1.94
2 2.85
2 1.55
2 2.02
2 3.33
2 2.7
2 2.96
2 2.49
2 2.47
2 3.05
2 1.93
2 2.73
2 2.84
2 1.12
2 2.46
2 3.05
2 3.03
2 3.84
3 3.19
3 3.25
3 2.52
3 3.18
3 3.67
3 3.55
3 2.75
3 3.09
3 2.43
3 2.41
3 3.66
3 3.02
3 2.24
3 3.94
3 2.63
3 0.99
3 3.45
3 2.88
3 2.99
3 1.31
3 3.99
3 3.28
3 3.54
3 3.86
3 3.01
3 3.73
3 3.67
3 3.4
3 2.61
3 3.97
